ID,DF0_1,DF6_1,DF0_2,DF6_2,DF0_3,DF6_3,DFM4_1,DFM4_2,DFM4_3,padj,log2FoldChange,pvalue,foldChange,log10padj
1110004E09Rik,81.8720674549662,45.6339418331874,46.7913570720856,37.1100807749453,50.7573769394797,50.8919257377618,100.270597234148,120.08558788392,107.418477862275,0.000276118432133155,1.06622797680948,4.78816296675048e-05,2.09395142711598,3.55890460130522
1110025M09Rik,63.9001502087541,78.0847449145651,45.7957962833178,54.1606584282985,42.795435458777,73.8431863645956,21.8411201896164,25.383945406357,31.1212412498181,0.000881296839596543,-1.19453600176691,0.000173842087499765,0.436926949400999,3.05487778729107
1110032F04Rik,0,1.01408759629305,0.995560788767778,1.0029751560796,1.99048537017567,5.98728538091316,10.9205600948082,20.502417443596,4.01564403223459,0.0145680208517389,2.68912622295348,0.00419948004997867,6.44922687711359,1.83659944559118
1110035H17Rik,16.9734773992003,14.1972263481027,8.96004709891,7.02082609255722,8.95718416579053,6.98516627773202,0,4.88152796276096,2.0078220161173,0.0180135363813315,-2.18896309394511,0.00536478662739137,0.219308997326818,1.74440101898876
1110038B12Rik,280.561597010311,305.240366484209,136.391828061186,190.565279655125,114.452908785101,204.565583847866,797.200886920997,878.675033296973,681.655574471822,4.27908264690483e-10,1.93668605211564,2.43337358882203e-11,3.82825266806357,9.36864932540013
1110059E24Rik,328.486709666877,303.212191291623,435.060064691519,377.118658685931,455.821149770229,286.391817387013,120.12616104289,138.635394142411,147.574918184621,4.88369480733219e-10,-1.42772402035495,2.79366223525746e-11,0.371716846700071,9.31125148388214
1500002C15Rik,23.9625563282828,15.2113139443958,16.9245334090522,17.0505776533532,12.9381549061419,15.9660943491018,1.98555638087421,0,0,6.22508680294786e-08,-4.68620866440519,5.0581453793339e-09,0.0388428087117091,7.2058545883642
1600014C10Rik,407.363457580807,437.071754002306,365.370809477774,342.014528223145,253.786884697399,514.906542758531,103.248931805459,113.251448736054,141.551452136269,3.93665619858878e-10,-1.69638075039429,2.2143138091635e-11,0.308559207245643,9.4048725119498
1700001G17Rik,6.98907892908248,5.07043798146527,7.96448631014222,5.01487578039801,0.995242685087837,6.98516627773202,0.992778190437107,0,1.00391100805865,0.0246654469401699,-3.0559244911727,0.00775334402019051,0.120247225255546,1.60791101067454
1700007L15Rik,8.98595862310605,21.2958395221541,8.96004709891,13.0386770290348,18.9096110166689,23.9491415236526,30.7761239035503,61.5072523307881,26.1016862095248,0.0125295561704188,1.31651307706859,0.00352807405989934,2.49063407720881,1.90206431257743
1700012D16Rik,5.9906390820707,30.4226278887916,15.9289726202844,34.1011553067065,24.8810671271959,37.9194740791167,2.97833457131132,3.90522237020877,9.03519907252783,0.00426518741795999,-2.23109203519075,0.00102507342024134,0.212997435391174,2.3700618806049
1700015C17Rik,8.98595862310605,13.1831387518097,8.96004709891,24.0714037459105,2.98572805526351,22.9512606268338,0.992778190437107,4.88152796276096,4.01564403223459,0.0378325571014669,-2.03491018655237,0.012821322723824,0.244023131122079,1.42213430376342
1700018A14Rik,9.98439847011783,3.04226278887916,2.98668236630333,7.02082609255722,0.995242685087837,1.99576179363772,0,0,1.00391100805865,0.0421759311255017,-3.6108031092249,0.0146321757006545,0.0818540091479077,1.3749353206368
1700020D05Rik,20.9672367872474,19.267664329568,26.88014129673,18.0535528094328,32.8430086078986,30.9343078013846,7.94222552349686,8.78675033296973,4.01564403223459,0.000433818524187054,-1.84183169979261,7.90527203058713e-05,0.278967372128016,3.36269190741529
1700028J19Rik,1.99687969402357,2.02817519258611,1.99112157753556,7.02082609255722,3.98097074035135,2.99364269045658,10.9205600948082,13.6682782957307,11.0430210886451,0.0146457544294217,1.83265220932273,0.00422679407262236,3.56191282813929,1.8342882521083
1700028N14Rik,30.9516352573653,36.5071534665499,45.7957962833178,42.1249565553433,58.7193184201824,39.9152358727544,11.9133382852453,24.4076398138048,10.0391100805865,0.000934640109286774,-1.45140937502305,0.000185341927718197,0.365664030672751,3.02935558553282
1700041G16Rik,8.98595862310605,8.11270077034443,10.9511686764456,9.02677640471642,6.96669879561486,11.9745707618263,0,3.90522237020877,0,0.00400387603150688,-2.82687221886173,0.000956871474600963,0.140937533962826,2.39751937766274
1700056E22Rik,27.9563157163299,17.2394891369819,15.9289726202844,10.029751560796,8.95718416579053,6.98516627773202,0.992778190437107,6.83413914786535,3.01173302417594,0.0212840686535356,-2.00245770893868,0.00650864810140149,0.24957447405076,1.67194534889204
1700065D16Rik,0.998439847011783,2.02817519258611,1.99112157753556,5.01487578039801,0,0,10.9205600948082,14.6445838882829,14.0547541128211,0.00174793459549851,2.98365419810338,0.000375301083917724,7.90987117405603,2.75747482189928
1700096K18Rik,41.9344735744949,39.5494162554291,17.92009419782,32.0952049945473,34.8334939780743,28.9385460077469,11.9133382852453,5.85783355531315,19.0743091531143,0.00692595417155018,-1.40854959630962,0.00177607244690925,0.376690199494689,2.15952038646671
