"ID","Control1_UT","Control1_MT","Control2_UT","Control2_MT","Control3_UT","Control3_MT","Control1_polyAdT","Control2_polyAdT","Control3_polyAdT","padj","log2FoldChange","pvalue","foldChange","log10padj"
"AC073111.2",29.3347316752433,32.5461456598618,48.5162672925636,27.4921699326136,29.3613781817019,32.3952279039011,68.799811015908,77.5224524631591,86.2020367076319,3.63014459216295e-07,1.22624984972574,6.50805511804955e-08,2.33958046772674,6.44007607625097
"AC073283.1",74.5645529203906,63.9103463098106,61.5977533297092,58.7380183786815,52.85566623443,78.7505165201264,25.5986644423329,33.6866915435902,29.354649231634,4.59179262092448e-06,-1.15371643757336,9.38255170481135e-07,0.449465897369484,5.3380177342037
"AC073410.1",18.3982627165704,9.28391488466786,13.4888635377946,17.576316517781,15.7872287824125,6.30612774680368,27.4721555397436,27.4717154666842,31.219890935495,0.00478243531149616,1.12692624020375,0.00165518876940569,2.18392943219857,2.32035089564468
"AC073548.1",53.1088202875056,82.499731286942,68.3657180312243,72.311590287227,57.1551037517515,71.2776005875749,202.240020769849,205.532379401752,219.868682717738,9.84186711584714e-26,1.63999922698007,4.90470475542401e-27,3.11665664868523,25.0069225030739
"AC073575.2",7.64740092943953,2.7192790370279,12.3859876616214,1.45457956934697,4.2681581897505,11.1980051939426,21.3809982773954,20.5220878283284,20.1767022378068,0.00356773847280297,1.72263110217392,0.00120079435224241,3.30037761797985,2.4476069883714
"AC074044.1",14.1685069538856,16.1322636993776,16.0610468318917,16.6563516433943,10.1053689791427,9.01136488665324,6.02101018282436,5.11101086680732,7.9720814043953,0.0398170169682472,-1.14868963140993,0.0177536146570966,0.45103471035392,1.3999312797872
"AC074351.1",0.67005104860165,0.659909356843699,0.95901947574667,0.936771324862417,0.956466950270347,2.09815558138206,6.06610030354954,3.14303973274095,2.09576345800631,0.0351808856419308,3.35678893375333,0.0154278947936902,10.2445799992116,1.45369323183245
"AC074366.1",0.510822047619846,0.496716860338083,0.847838815294989,0.82370289748715,1.10781893627823,1.10492053297665,7.70033970623706,6.41035513540698,5.63652125052572,0.00088183652302879,4.06841798608427,0.000261133799989975,16.7770596524982,3.05461191795993
"AC078962.1",76.7126405372475,69.5555247869305,53.1977362091536,115.653262837069,46.9832540142958,85.7975394386645,28.8817721258239,38.4273110891158,43.7676901959675,0.00146585718309803,-1.02490074941754,0.000452742533236992,0.491444107135516,2.83390834048196
"AC079209.1",1.38163541499176,6.15536571848851,2.54974501864361,1.52325865778222,3.5258708502406,0.385499476307607,6.18531378263151,8.47917977943434,10.5689791522918,0.0329919580040623,1.88869562458925,0.0143365108823992,3.70300275943391,1.48159190921592
"AC079316.1",92.5821064444885,114.883543935446,81.9974460504587,154.241847292993,135.038169127531,116.179031178036,57.8046187246135,50.1873166121302,46.5247332072672,5.80251179548258e-07,-1.18558788931747,1.06498098041859e-07,0.439645348690587,6.2363839680271
"AC079316.2",85.5272192549169,111.018680116747,76.9272012009478,143.158625972368,100.41330595326,150.852985313164,62.0681255706154,61.5424934180887,42.8012106191239,0.000139686257111235,-1.00749938225583,3.59324853397168e-05,0.497407655734471,3.85484631940011
"AC079331.1",123.468559265597,146.28650061147,103.079814501682,138.336639516708,120.938225661354,144.421628454322,52.2024695255901,70.1716106924485,50.5566179680424,1.17182823764263e-09,-1.17667824031824,1.60487652553658e-10,0.44236886678462,8.93113604097211
"AC079331.2",154.620199978325,143.251238318952,144.995453631399,150.471933170204,135.816823216778,172.302359477122,68.9539745779216,58.3722569873843,56.5030454983484,5.95828149738608e-15,-1.29680766800761,5.35459339404154e-16,0.407025851316701,14.2248789825118
"AC079834.2",4.62739583118089,3.61045876834152,3.7873874847859,3.74274068614447,0.51787494774908,5.98196876122834,0,0.00278257459653974,0.513560165442195,0.0166163994838754,-4.02385996826517,0.00664366760236114,0.0614748462456135,1.77946307523817
"AC079922.2",150.052094829192,187.123426830126,124.962289806414,173.042493386159,186.349577439544,145.406418456164,69.1822427688883,83.0508308430522,57.908673114238,2.58091893095696e-10,-1.21215511023664,3.31362942628818e-11,0.43162337114102,9.58822563683195
"AC080112.1",11.4673063998636,3.19805609783895,13.4068683032518,3.09406840486984,10.8555391971209,3.81315361936618,1.15823608665528,0.774372875392916,1.81085923465343,0.00352579258456508,-3.42575685567847,0.00118522314850326,0.0930560103025748,2.45274323997441
"AC080112.4",5.66670129323463,16.2340203311425,10.1553672174329,12.080243418652,9.20129941798603,10.883180996307,23.7847908139321,23.7145775159353,29.0117103979983,0.00274030066383498,1.25888299731177,0.000898580636331744,2.39310383767026,2.56220178408443
"AC083837.1",15.8009591067995,22.7039746243699,18.7074839503898,18.4313470417895,26.1710888584982,22.8893753769731,114.319317888773,106.176372509346,89.8092502745955,1.90662306853915e-24,2.35055667815637,1.00518649316992e-25,5.10021009617617,23.7197351566833
"AC083855.2",11.8293979887677,9.41636696157688,11.743759023145,9.51954569365055,12.4400048422025,11.4478792170134,3.5547359662576,3.30926126985796,1.91363561128257,0.00178257467566545,-2.16752079630807,0.000561259541980776,0.222592857186611,2.74895226761909
"AC083862.2",129.105737937273,197.796384245218,214.297885070397,205.751477493985,179.050392930367,200.578630731558,1321.9470075833,1178.87310760466,1373.34302635349,2.14258959949915e-114,2.78348924632484,1.43284207368485e-116,6.88515554098724,113.669061007559
"AC083862.3",78.0044295758229,106.409246234155,111.507518820434,144.382448009487,97.6233526322118,120.187053283521,857.718882133852,764.900991224556,783.961756633927,6.31347377054401e-102,2.87210959235753,5.06072695971602e-104,7.32134948020973,101.199731619478
"AC083900.1",10.3827056684472,6.33779259574575,8.68457512333735,7.51456576629493,6.88057448817492,11.0477345843061,3.36593823468708,4.37653780407408,1.97248023379292,0.0410699740271519,-1.58227065379367,0.0183900809406927,0.333955862627421,1.38647557179617
"AC083949.1",12.7098818625341,16.524365887985,5.73431807502688,8.37190577133353,10.5392922544085,5.77649224754331,10.1143948711103,30.5760195131416,30.3977516518922,0.0117375568104339,1.32702875731697,0.00448706710974172,2.50885441767209,1.93042229271107
"AC084398.1",0.764714656874319,0.749454714638689,0.117563878296711,0.103374637819837,0.567423792462248,0,5.56391886491535,8.06055474195211,9.47685807113757,1.76041262019703e-05,5.3209026888967,3.93818946365073e-06,39.9715798102704,4.75438552669039
