,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,M24C_1,M24C_2,M24IK1_1,M24IK1_2,P24C_1,P24C_2,P24IK1_1,P24IK1_2
33,CLEC11A,972.862658,-2.914027767,0.200050995,-14.56642478,4.59E-48,2.66E-45,877.8007355,1497.618927,147.0558141,137.9384051,2012.290164,2455.734075,291.2028274,363.2603157
34,IPP,202.7613109,2.420915692,0.168394379,14.37646382,7.27E-47,4.09E-44,47.67607829,43.77058646,227.699325,262.0829697,88.00485704,76.02051311,406.4953754,470.3407819
35,SYNE1,1475.644544,2.528040106,0.176501007,14.32309166,1.57E-46,8.57E-44,463.4395257,350.1646917,1888.006903,1989.761494,505.6995517,382.8175839,2917.971189,3307.295411
36,CACNB4,212.6463151,-3.041754346,0.212525666,-14.31240941,1.83E-46,9.72E-44,630.3057997,597.2745849,58.82232562,75.86612281,130.0370276,165.6161178,20.20591047,23.04263196
37,SLCO2B1,206.248007,-6.620360473,0.462672068,-14.30896941,1.92E-46,9.94E-44,253.1038862,337.9754144,3.79498875,2.586345096,325.7493216,716.7648379,5.942914846,4.066346817
38,HIP1R,1723.112467,2.734641114,0.192261596,14.22354318,6.55E-46,3.29E-43,325.3191224,457.6519546,3512.262088,2704.454855,575.3153341,457.4805878,2540.001805,3212.413986
39,CLEC14A,464.9083455,-3.455393983,0.244478287,-14.13374588,2.35E-45,1.15E-42,894.6275867,1469.361966,109.1059266,123.2824496,376.9760294,659.7494531,42.78898689,43.37436605
40,NBR1,1122.344774,1.775424784,0.125818675,14.11097988,3.25E-45,1.55E-42,506.9088912,411.6651359,1564.484112,1443.180563,593.7044087,509.065936,2027.722545,1922.026596
41,KMO,97.60496081,4.867512053,0.347195999,14.01949352,1.18E-44,5.52E-42,9.815663177,8.310870847,313.0865719,252.5997044,1.313505329,6.787545813,83.20080784,105.7250172
42,IL6R,118.6087704,-4.08928627,0.294119728,-13.90347495,6.03E-44,2.75E-41,240.4837478,233.8124998,9.487471875,13.79384051,210.1608526,211.7714294,22.58307641,6.777244695
43,ATP9A,683.9971672,-3.29579794,0.237184052,-13.89552931,6.74E-44,3.00E-41,1536.151287,1298.158026,106.259685,110.3507241,773.6546388,1357.509163,155.704369,134.189445
44,STK32B,715.0875657,-2.616582715,0.191319971,-13.67647453,1.40E-42,6.10E-40,1279.541807,1521.443423,164.1332634,225.0120233,880.0485704,1242.120884,190.1732751,218.2272792
