baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RP11-177F11.1	649.194213337081	-2.69816527780341	0.096560701067232	-27.9426852537532	8.08962937351833e-172	4.50085040364598e-169
TTC37	2695.37068437957	-2.84192539181925	0.102089578417424	-27.8375661441089	1.52341927530532e-170	8.33462685519543e-168
ZNF707	1062.95880866331	-2.19444056219748	0.0789215726743616	-27.8053324057791	3.7393143520167e-170	2.01224152326722e-167
RP11-76N22.2	11042.6264470391	3.1019152949201	0.1115702744683	27.8023452904692	4.06357325318025e-170	2.15146541304669e-167
CTD-2218G20.2	1476.59904849169	3.39194198129321	0.122877570120132	27.6042403668713	9.89652503362819e-168	5.15656080561713e-165
WDR7	3825.18119957961	-1.77985426248971	0.0647104483038135	-27.5048977273863	1.53411397003821e-166	7.86856643444908e-164
SMUG1	4574.474669652	2.47548997858391	0.0908384999230446	27.2515506165455	1.59300289426134e-163	8.04490969338811e-161
CD164L2	1009.44482468146	-2.63968826587529	0.0970878754748825	-27.1886500035548	8.84707116961376e-163	4.40021148808699e-160
PARP14	4396.18413948238	2.83061565978507	0.104447463766175	27.1008558534454	9.62031935945576e-162	4.71338213870888e-159
JMJD7	390.05623751295	3.43031305880832	0.127621172635509	26.8788711776331	3.87932296710896e-159	1.87268611350469e-156
HRCT1	3004.49208467092	1.48694057317086	0.0555037476379948	26.789913049997	4.23557363028663e-158	2.01502811576506e-155
AC002454.1	2891.10372144609	2.47938403706501	0.0929047907016694	26.6873647563199	6.59795683651262e-157	3.09406473021947e-154
LYSMD4	1370.39660148657	-3.07987160208581	0.115606228987464	-26.6410523815268	2.27229374443887e-156	1.05056780922465e-153
INTS9	1106.16835329096	-2.52709528820706	0.0960383219500958	-26.313405283364	1.34712996763953e-152	6.14179004412988e-150
NHP2P2	686.22313067175	-2.23324530343363	0.0852323863431163	-26.2018394562292	2.53218181167364e-151	1.13864931712327e-148
METTL2B	1448.7963820213	3.00747480345084	0.115038089608382	26.1432957874129	1.17464349802743e-150	5.21065506300654e-148
RP11-474L7.4	729.039829810229	3.92636920550851	0.150238806902367	26.1341878737101	1.49090233841728e-150	6.52538135478474e-148
LIPI	790.609309086735	-3.269366459968	0.125384767288365	-26.0746702384427	7.06624174300677e-150	3.05205857178869e-147
PARVB	2386.56945664121	-1.1901194373873	0.0456598076467307	-26.0649244647555	9.11363685543473e-150	3.8852499145e-147
MYO5B	3081.38933750702	1.54833246775934	0.0594087945044014	26.0623444841088	9.74850771397455e-150	4.10262197716575e-147
SLC27A3	494.833959186195	-3.82343274289281	0.147021280334695	-26.0059818156169	4.23779311393318e-149	1.76088350326545e-146
ITCH	1922.64294728378	-1.89869135725831	0.0734339073518147	-25.8557855046698	2.09461677769081e-147	8.5947362930598e-145
RP11-395E19.6	1314.97104438877	1.25560106329318	0.048605838395484	25.8323095484314	3.84583218738389e-147	1.55855910349461e-144
GOLGA7	622.782437046835	4.22310333765054	0.163609147462913	25.8121468337083	6.47801889095015e-147	2.59326156236987e-144
TREML3P	9204.00817452416	-1.82779120765435	0.0710983389743945	-25.7079312121851	9.53016141835536e-146	3.76912143034859e-143
RP11-81A22.5	1093.13440118856	-1.74690969069382	0.0680083069853986	-25.6867104641919	1.6454538550255e-145	6.43019860060323e-143
RP5-1169K15.1	6246.48378765763	1.22163879370596	0.0475614862219939	25.6854629816222	1.69911514344998e-145	6.56178278810459e-143
FCHSD1	1659.14183536281	-2.09526395230914	0.0815927186291693	-25.6795457672137	1.97843514596662e-145	7.55164094203491e-143
AC005017.2	853.624433078576	-4.57218461205251	0.18023534551688	-25.3678577802838	5.7096447068718e-142	2.1543080131928e-139
GLRX3	4318.01096717875	-1.72525267520586	0.0681708628632812	-25.3077723053896	2.62313561424664e-141	9.78489200832502e-139
RPL10A	539.854683356267	-3.65706163967978	0.144511418716348	-25.3063852819685	2.7169951636502e-141	1.00211329485372e-138
RP3-510O8.4	331.575995259998	-3.81177207029252	0.150884502971462	-25.2628467153679	8.18332937822765e-141	2.98473300188556e-138
RNU6-113P	7239.78525193353	-1.60074040206591	0.0635179954710484	-25.201368371197	3.86967722810058e-140	1.39589038120472e-137
ELSPBP1	3422.62361164537	-2.03147172656543	0.0806728004350973	-25.1816190290776	6.36916287921862e-140	2.27254500731772e-137
CSNK2A1	729.912135563789	3.09190880348896	0.123140556491031	25.1087772509308	3.98840600305743e-139	1.40777866082111e-136
NUDT22	20884.6050001708	2.25609345088318	0.0898717622814369	25.1034740346822	4.55736877304698e-139	1.59149135472383e-136
LPAR2	8657.24528322565	1.50518274446737	0.0601864296175941	25.0086731183563	4.91981373752938e-138	1.68226880987645e-135
PAK4	5204.535414729	1.33577526604103	0.0534118434738583	25.0089714034081	4.88319160917846e-138	1.68226880987645e-135
TRPT1	2878.83255239439	2.48097770200171	0.0993482838082659	24.9725270221053	1.2158458491753e-137	4.11457276752868e-135
UBN2	416.292758956434	5.02665192245784	0.201332304423925	24.9669417773797	1.39811521258184e-137	4.68311530287873e-135
RP11-343P9.1	817.56846454422	-2.33048928541626	0.0938046208663398	-24.8440776572929	2.99651796807671e-136	9.93572715354406e-134
KIAA0408	2216.07262574306	-1.9062561406975	0.0768774389159968	-24.796041173802	9.89122963226338e-136	3.24689503908678e-133
RP4-738P15.1	309.515094779562	-4.60579027483264	0.185961240436916	-24.7674744694719	2.01002172753824e-135	6.53276962655152e-133
RN7SL535P	348.159171165726	-3.79151306098958	0.153141469730472	-24.7582386904254	2.52747698503761e-135	8.13401563831808e-133
ENKUR	1017.51027654996	-1.83574133913549	0.0742737577825076	-24.7158807355756	7.21916720961062e-135	2.3007415808027e-132
TNK2	337.327674070266	-3.38597798056767	0.137936356189968	-24.5473932623278	4.61129921998753e-133	1.45548565572414e-130
KCNJ15	1462.67821897108	-2.18498693872738	0.0896195011024436	-24.3807085717843	2.73987723171025e-131	8.56563904839243e-129
WBP11	738.51806738376	-4.01586217086585	0.164750408044657	-24.3754308018303	3.11674980998825e-131	9.65192728893153e-129
WDR5	958.227923501171	-2.08388070529351	0.0856014113841982	-24.3439993756714	6.71092844217199e-131	2.05881249572652e-128
SPRED3	300.512676457001	-6.13662083129781	0.252367797555295	-24.3161801574674	1.32198694823147e-130	4.01810588543019e-128
ZNF718	3244.3504799046	3.04298258201591	0.125192338917927	24.3064600303602	1.67505075689908e-130	5.04451524274946e-128
ABL2	1386.43860181191	-2.73957525792036	0.112750482258772	-24.2976810656365	2.07414810564752e-130	6.18963506508959e-128
GUCY2C	252.125914336926	-3.73910915984579	0.157499141714251	-23.7405049903676	1.37715868067389e-124	4.07266764430642e-122
UQCC1	2079.22306996931	-1.79905264250138	0.0759010925902681	-23.702592164425	3.39046135721914e-124	9.93707897429246e-122
AC073629.2	33599.912446531	1.12185233196838	0.0474348354036745	23.6503894747673	1.16947443985448e-123	3.39727150112064e-121
LRRC49	2338.36772000449	2.42245103402567	0.102439723985969	23.6475747861003	1.25011752981819e-123	3.59968052928175e-121
LCP2	3523.9182969425	-1.98739074566562	0.0840462486139483	-23.6463944368814	1.28556589809985e-123	3.6695640148718e-121
FAM197Y4	290.342547028612	4.26040328697169	0.180616297246696	23.588144325385	5.10063600933489e-123	1.44339204864161e-120
RP11-21F16.1	1011.08670647921	-1.90915876119929	0.0810900917651648	-23.5436749378478	1.45735332832266e-122	4.08881028679655e-120
QTRT2	1449.07424145317	2.48185796281467	0.105688094819355	23.4828527002662	6.10634728072941e-122	1.69870301556969e-119
WDR19	1065.64489102309	-2.25004133379161	0.0959437635326811	-23.4516684664469	1.27109187304292e-121	3.50629090962242e-119
RP11-121E16.1	345.996050942208	3.34693635349871	0.144435986136971	23.1724547532409	8.63382005203448e-119	2.36178147523403e-116
AMTN	934.426620203449	1.98105434333178	0.0854952840926058	23.1715043040966	8.82643952983948e-119	2.39451821492984e-116
TRAJ55	1829.85323205219	-1.16370947282919	0.0503289573121274	-23.1220660029207	2.77772518316757e-118	7.47390220185727e-116
RP1-263J7.2	1322.07426888172	2.07635744950858	0.090196522758369	23.0203713625526	2.91438250200228e-117	7.77784715534363e-115
RP11-882I15.1	2737.78304083098	1.36902569477885	0.0595881749072324	22.9747881506719	8.33060577880235e-117	2.20532633302392e-114
RP11-379J13.2	2519.55049772619	2.17886461981768	0.0956276962216168	22.7848699268899	6.47748163003174e-115	1.70103849589938e-112
CTC-436P18.3	3512.8920439509	-2.53205747685158	0.112014301526888	-22.6047695904596	3.89000931500128e-113	1.01344004582724e-110
NIPA2	1121.74693555066	-2.00446963414261	0.0896771400706897	-22.3520691289057	1.15276244326832e-110	2.9795732254115e-108
RP11-107P7.6	357.971331552398	3.73362350899659	0.167150867905988	22.3368478774308	1.62084937242222e-110	4.15671886711967e-108
ZIC4	1062.89283152295	-3.37791138041871	0.151329552946031	-22.3215579155473	2.28198347331642e-110	5.80685189884377e-108
RP1-50J22.4	910.93818925428	-2.37000513842498	0.106236465829904	-22.308772415487	3.03717020286967e-110	7.66908839072305e-108
MAP2K5	2355.65210830248	-2.11815519844001	0.0951222034633569	-22.2677263700685	7.59587232322147e-110	1.903374846428e-107
SOSTDC1	3526.20388824452	1.1302738089646	0.050804625083853	22.2474589094808	1.19366895550073e-109	2.96843766161113e-107
TMPO	2150.59131955821	-1.93729125301037	0.0875419135420883	-22.1298709912134	1.6304298735071e-108	4.0240970697552e-106
DSPP	1416.14196437679	-2.59319142807698	0.117901565225389	-21.9945462396506	3.24764579823308e-107	7.95576275916411e-105
RNA5SP516	395.432504816898	3.27202610824441	0.148919902766332	21.9717180005046	5.3698541657815e-107	1.30570987293291e-104
MEF2A	669.795395713458	-2.86244603501394	0.131965548052807	-21.6908585403557	2.50272728658623e-104	6.04077396393232e-102
PLEKHG5	1567.16780841346	-2.34186477641762	0.109933762751081	-21.3025072353816	1.07604716483828e-100	2.57827184182345e-98
BOC	323.2782007265	-2.90132989530341	0.13692313917137	-21.1894783661961	1.19412828272727e-99	2.84046775426127e-97
MIR3651	8107.05090719929	1.40099120840246	0.0661227892470083	21.1877209711907	1.23953432293095e-99	2.92726285500225e-97
ATE1	1136.12573823757	1.99702271309318	0.0943747229653846	21.1605676853288	2.2055128760059e-99	5.17129754769783e-97
RP11-5N11.6	376.496314536684	-2.624917725939	0.124163559099129	-21.1408060866179	3.35302075836061e-99	7.8061176889323e-97
RP11-550P17.5	3947.65641900297	1.49323937409549	0.0706607670036085	21.1325101243131	3.99722884106976e-99	9.24035450260252e-97
RP11-972P1.10	1912.64603690722	-1.39529435468074	0.0661854268328874	-21.081594868365	1.17361502356662e-98	2.69406201144041e-96
RAET1L	515.303955061856	-2.14168809500159	0.101654114849705	-21.0683856543147	1.55130542705892e-98	3.53632999643307e-96
PNCK	9875.2059691759	-1.60029914943981	0.0762758765676234	-20.9804098156911	9.90363198838971e-98	2.2420456803509e-95
FCRL2	1384.55109862587	-1.48072100967753	0.0709336787709561	-20.8747246066111	9.08911947451306e-97	2.04355777993401e-94
ABCB9	1294.62832510825	-1.90904166095862	0.0915173269805142	-20.8598931365761	1.23948173066493e-96	2.76783859121136e-94
ARL16	2094.08548788071	1.10429174581404	0.0530954104885031	20.7982523471244	4.48868460562102e-96	9.95578113946726e-94
ST3GAL3	19172.9036815699	1.58250324920954	0.0762168395412466	20.7631706947535	9.32092478612622e-96	2.05348105388845e-93
WASH5P	987.760737346848	3.59864683583241	0.173451652813551	20.7472617150597	1.29775267500799e-95	2.84000195398748e-93
RN7SL868P	476.688428228996	-3.57668996532826	0.17268492966522	-20.7122299106373	2.68724528815432e-95	5.84182210787774e-93
RPS4X	1387.97945366252	-1.95901740747364	0.0946946777781194	-20.6877245209476	4.46806752958769e-95	9.64926215304247e-93
SBNO1	303.824973770389	2.66079254984049	0.12869078191575	20.6758596865348	5.71396436447218e-95	1.22592545247166e-92
C15orf38-AP3S2	594.787146214268	-2.86879307430691	0.138983303289898	-20.6412785305803	1.16928372231315e-94	2.49239658887347e-92
GGTLC2	428.139661485012	-3.11344679480334	0.150914727011912	-20.6305034402481	1.46120973246318e-94	3.09455939857009e-92
AC069513.3	7330.05974806886	0.904257365695937	0.0439819729679349	20.5597271944846	6.29861747972582e-94	1.32537447044538e-91
DDX60L	651.500572615829	2.39083525810929	0.116629595854692	20.499387317504	2.18021046570375e-93	4.5584451431332e-91
AC011330.5	6475.96874123815	3.67485373995477	0.179462898549469	20.4769552350777	3.45597109467734e-93	7.18010804771383e-91
MICAL2	715.793546351397	-2.38686217246754	0.116764984267529	-20.4415920358351	7.13726153080982e-93	1.47350784283247e-90
AE000658.31	2992.36857143252	0.879089821935992	0.0431255365645691	20.3844378984082	2.29841313172437e-92	4.71548184137402e-90
RP5-1043L13.1	3186.18354178328	1.01603698901834	0.0498584342720872	20.3784375472689	2.59817097734175e-92	5.29736400634909e-90
RP11-1149M3.2	3870.54710225426	1.57092210525615	0.07721914965943	20.3436856295958	5.28087767649288e-92	1.07006228770713e-89
RP11-306I1.2	1809.0098206713	2.05938984893347	0.101313978457804	20.3268086031306	7.44927556139405e-92	1.50018355569522e-89
CHRM3	1155.38997248546	-1.74730669126676	0.086190183023765	-20.2726880250966	2.24076896492043e-91	4.48509036844378e-89
HBP1	19258.6913281518	-2.3265304353415	0.114961005608951	-20.2375616237681	4.57238332520086e-91	9.09654878988142e-89
TEAD3	179.328598083861	-4.10062906217482	0.2028792296773	-20.2121679419687	7.65124108000419e-91	1.51300987766396e-88
ZNF397	3041.63444309741	1.08388542697987	0.053731256676596	20.1723446280754	1.71320859701936e-90	3.367532060225e-88
MLXIP	1429.79891232212	1.28586157110656	0.0643827074927341	19.9721574500681	9.62067750311178e-89	1.87981166498302e-86
C21orf37	5731.19802121925	-1.12031662530969	0.0562415321968503	-19.9197386975249	2.74419097618639e-88	5.33022562037245e-86
NANOGP4	200.453988028765	3.30184198598169	0.166152520221497	19.8723557222004	7.0610224514521e-88	1.36344189994922e-85
RNU5D-2P	2975.40332521317	1.56940675800412	0.0790651096205032	19.849548878601	1.11194749732389e-87	2.13454903784527e-85
AP000279.69	251.453918787663	-3.68440302557537	0.185687311510372	-19.841975176476	1.29278471370855e-87	2.46726459373237e-85
RNU6-354P	1159.72335457109	1.33160760824523	0.0672522594051546	19.8001913991185	2.9656486164306e-87	5.62718968109543e-85
TTC39C	937.786737518904	3.21692491113651	0.16265515330266	19.7775775671284	4.64473939526229e-87	8.76254111430344e-85
ERRFI1	4821.22919746196	-1.63293473753618	0.0825757874362273	-19.7749823311983	4.8899884704293e-87	9.17250065887498e-85
RP11-815M8.1	273.185669038797	3.28894253948703	0.166448730258149	19.7594931147034	6.64688677035053e-87	1.23971991547458e-84
RP11-429A20.3	830.214714160078	-3.22670618969597	0.163717822718426	-19.7089488249883	1.80681195893534e-86	3.35087058553737e-84
RP5-1057I20.6	493.127334646495	2.99216006107076	0.151918929066616	19.6957685224249	2.34412584841154e-86	4.32293680336838e-84
SLC11A1	676.986654701382	-3.06213981264405	0.155575290830983	-19.6826873746343	3.03475670225928e-86	5.56530298929402e-84
PORCN	685.178382250313	1.85966617457302	0.0945841913713321	19.6614904415906	4.60983112411676e-86	8.40679536001427e-84
MIR4426	631.60281675862	-4.11426554120361	0.209826589942207	-19.6079321612042	1.32302564567365e-85	2.39942761573941e-83
CCT5	763.565516931863	-2.67973542730036	0.136703367670131	-19.6025560523618	1.47048753884712e-85	2.65221010715359e-83
RP11-155G14.5	1472.73726014523	3.60113691169515	0.183912005125862	19.5807604252407	2.256270559376e-85	4.04723155093314e-83
RP11-69I8.3	512.837199844475	2.85151636782358	0.145957027727476	19.5366842708512	5.35498777316026e-85	9.55341460009559e-83
RP11-510K18.1	5364.94997964216	1.25679054086071	0.0648776939908426	19.3716894598335	1.33794536726426e-83	2.37402133112522e-81
MIR378H	3692.54322090908	-2.34570576462979	0.121144295118419	-19.3629073687444	1.58672409196326e-83	2.80031209907451e-81
PRSS45	3393.76471346901	-1.41316859485865	0.0730378000017094	-19.3484551126345	2.10044151397699e-83	3.68711728009672e-81
STXBP1	3323.77537954455	-1.1748868990865	0.0607992198728452	-19.3240456299217	3.37161258452544e-83	5.88705078189533e-81
IYD	476.827690181935	-3.13461710767332	0.163124994428049	-19.2160442283168	2.71712072516052e-82	4.71916428169943e-80
CEP152	1412.07978952031	1.00051582130143	0.0521147859257022	19.1983101058464	3.82329861977337e-82	6.60545265750951e-80
KCNA10	972.455465720409	1.61478563158576	0.0845444887587439	19.0998331800635	2.53295134205005e-81	4.35322831173482e-79
CES2	1425.57081490082	1.4810740670422	0.0779048435278569	19.0113220176433	1.37444643473272e-80	2.34987388888209e-78
PLSCR3	1851.22317697337	1.04665491821729	0.0551138339804515	18.9907840305309	2.03270906831294e-80	3.45729056354614e-78
SYNPO	380.092648582919	4.41385255819131	0.233407278927853	18.910518037253	9.34344021028216e-80	1.58096787805527e-77
RP11-145J3.3	254.192527157831	-3.98380830013059	0.210868500943972	-18.8923821352962	1.31763500686821e-79	2.21808649925414e-77
RN7SL254P	309.664876241165	-4.17764921972099	0.221189304848892	-18.887211669547	1.45321700105687e-79	2.43384190187208e-77
DAXX	568.072235136015	1.81742068802872	0.0962507770026957	18.8821404317372	1.59969895028317e-79	2.66556942852769e-77
RBM44	1000.42290151633	2.51130449280624	0.133010400097452	18.8805122829966	1.64978143701508e-79	2.73513764906349e-77
GS1-124K5.5	2259.21239425045	2.09599449936361	0.11140822821819	18.813641800843	5.83856065663663e-79	9.6309845283796e-77
AASS	15030.1659179444	-1.15848041786372	0.0616346806029655	-18.7959182481426	8.15563467208883e-79	1.33858431872994e-76
AP000963.2	5403.04215608778	-1.58481032196194	0.0845586347576063	-18.7421465176788	2.24390173584373e-78	3.66459295426897e-76
RP11-399H11.2	1761.3277043633	0.884168808534912	0.0474257798137763	18.6432107601967	1.4337140579476e-77	2.32985632010831e-75
CTC-429C10.7	24239.6933880635	1.28339031764627	0.0689064409027794	18.6251140072234	2.01063742632878e-77	3.25128985993442e-75
C2orf58	6642.76179695102	0.95319871044306	0.0513336124667995	18.5687050771958	5.75747793373905e-77	9.26445934573127e-75
MRPS31	599.913415744045	-3.56300084346275	0.192810781171467	-18.4792614905396	3.03304397407133e-76	4.85671714599343e-74
RP11-80G7.1	1989.28084406329	1.40936117539567	0.0762866114298574	18.4745546955055	3.30946655503084e-76	5.27361889007002e-74
MORC1	745.363112140153	2.66632300516294	0.144662719476694	18.4313070762679	7.36811899384911e-76	1.16843417435793e-73
RP11-439L18.3	164.482227673242	-4.25716447477918	0.231411955712074	-18.3964759369477	1.4019088177948e-75	2.21245475254481e-73
RP11-344L13.2	1784.21445964071	1.43647179215541	0.0781130101731899	18.3896611969057	1.58970279491222e-75	2.49682219836308e-73
FAM120B	4993.21785723368	1.12624973985278	0.0612704329131997	18.3816187727661	1.84383394799621e-75	2.88217586556779e-73
MIR1180	555.128071362748	2.02830124171364	0.110721297999065	18.3189799827923	5.8397100452067e-75	9.08503895468981e-73
CTD-2308N23.5	252.728611996075	-5.11262300521278	0.27914938085494	-18.3150075044213	6.28182540148869e-75	9.72675474666357e-73
TRIM13	1034.31033995473	-1.16858649593114	0.0638344662221709	-18.3065131595831	7.34235541257854e-75	1.13155004118922e-72
PSMC3IP	4757.75700740894	0.691150921234881	0.0377768382280617	18.295626464617	8.96644452029594e-75	1.37538555057586e-72
NLRP13	390.523280541417	2.31703423246712	0.126714386805071	18.2854866829881	1.07995296177017e-74	1.64886213595663e-72
C6orf112	7640.86908319506	-0.906250896265149	0.0496201919214733	-18.2637523389539	1.60847520783774e-74	2.44443551724452e-72
TTTY8	211.673530661125	4.04896183647452	0.221840668113371	18.2516662562759	2.0069354292379e-74	3.03592914286467e-72
DAPK1	1436.11125627045	-1.41398336287533	0.0775065285853538	-18.2434097963526	2.33431562726419e-74	3.51496535690708e-72
RP11-38J22.2	778.221314554748	1.89225692004332	0.103828852834633	18.2247695932564	3.2825550687718e-74	4.9202352825344e-72
ELF1	583.118079301391	-1.86557085245599	0.102455124605844	-18.2086631550451	4.40573643575319e-74	6.57375928363791e-72
RP11-697E2.12	639.186760033518	-3.47258526951181	0.190727045727988	-18.2070941027648	4.53380799261447e-74	6.73424349165442e-72
TRAF3IP3	1542.74965799377	-1.96711562656995	0.108171591866376	-18.1851407807691	6.76814287206832e-74	1.00077053116448e-71
AC012613.2	162.74894889036	-4.77538680664199	0.263298361051213	-18.1367889552231	1.63297571821384e-73	2.40376954825505e-71
RABAC1	1162.1221271312	-1.535451075611	0.0848286205699831	-18.1006252995032	3.15070608717612e-73	4.61719098293051e-71
RP11-385N17.1	3443.38937880388	1.0485365596213	0.0579291090271846	18.1003398331097	3.16707781625752e-73	4.62055539539864e-71
STAMBPL1	396.986623990919	1.80957472603111	0.100124126868012	18.0733134224139	5.17126119476297e-73	7.51114247695969e-71
RP11-45A12.2	2996.697186422	-1.75564586597803	0.097167529811725	-18.068236059719	5.66976548959059e-73	8.19893048287669e-71
LIG1	1789.81608289784	-1.97804325269107	0.109485005525427	-18.0667959342769	5.81968696050263e-73	8.37881772655524e-71
RPL21P106	327.954822353711	-2.50673703409442	0.13920868748699	-18.0070445267913	1.71546712983031e-72	2.45903598269912e-70
RP11-370B11.1	1694.75062697632	-1.79855688426363	0.0999151921187935	-18.0008349693733	1.91903935328535e-72	2.7388863396063e-70
CFAP157	2050.51871304625	-1.85120964954794	0.102926823432874	-17.9856871882892	2.52242172089313e-72	3.58445954156008e-70
